Tue Nov 1 23:00:01 WIB 2022,47.4,15.28,34
Tue Nov 1 23:01:01 WIB 2022,21.5,15.10,34
Tue Nov 1 23:02:01 WIB 2022,6.8,15.10,34
Tue Nov 1 23:03:01 WIB 2022,8.3,15.10,34
Tue Nov 1 23:04:02 WIB 2022,13.2,14.91,34
Tue Nov 1 23:05:01 WIB 2022,50.7,15.17,34
Tue Nov 1 23:06:01 WIB 2022,77.1,21.68,34
Tue Nov 1 23:07:01 WIB 2022,78.6,21.68,34
Tue Nov 1 23:08:02 WIB 2022,34.3,21.83,34
Tue Nov 1 23:09:01 WIB 2022,5.6,14.94,34
Tue Nov 1 23:10:02 WIB 2022,21.6,14.92,34
Tue Nov 1 23:11:01 WIB 2022,9.6,14.94,34
Tue Nov 1 23:12:01 WIB 2022,4.3,14.92,34
Tue Nov 1 23:13:01 WIB 2022,7.1,14.92,34
Tue Nov 1 23:14:02 WIB 2022,7.2,14.91,34
Tue Nov 1 23:15:01 WIB 2022,8.5,14.94,34
Tue Nov 1 23:16:01 WIB 2022,8.5,14.92,34
Tue Nov 1 23:17:01 WIB 2022,8.3,14.92,34
Tue Nov 1 23:18:02 WIB 2022,7.4,14.92,34
Tue Nov 1 23:19:01 WIB 2022,10.1,14.92,34
Tue Nov 1 23:20:01 WIB 2022,24.3,14.94,34
Tue Nov 1 23:21:01 WIB 2022,4.2,14.92,34
Tue Nov 1 23:22:02 WIB 2022,9.6,14.92,34
Tue Nov 1 23:23:01 WIB 2022,7.1,14.92,34
Tue Nov 1 23:24:01 WIB 2022,8.5,14.92,34
Tue Nov 1 23:25:01 WIB 2022,8.7,14.92,34
Tue Nov 1 23:26:01 WIB 2022,7.1,14.94,34
Tue Nov 1 23:27:02 WIB 2022,7.4,14.92,34
Tue Nov 1 23:28:01 WIB 2022,9.9,14.92,34
Tue Nov 1 23:29:01 WIB 2022,10.8,14.92,34
Tue Nov 1 23:30:01 WIB 2022,19.2,14.94,34
Tue Nov 1 23:31:02 WIB 2022,6.9,14.92,34
Tue Nov 1 23:32:01 WIB 2022,8.5,14.92,34
Tue Nov 1 23:33:01 WIB 2022,9.6,14.92,34
Tue Nov 1 23:34:01 WIB 2022,8.5,14.94,34
Tue Nov 1 23:35:02 WIB 2022,6.9,14.92,34
Tue Nov 1 23:36:01 WIB 2022,5.7,14.94,34
Tue Nov 1 23:37:01 WIB 2022,7.2,14.94,34
Tue Nov 1 23:38:01 WIB 2022,11,14.92,34
Tue Nov 1 23:39:01 WIB 2022,9.9,14.92,34
Tue Nov 1 23:40:02 WIB 2022,22.4,14.92,34
Tue Nov 1 23:41:01 WIB 2022,9.6,14.92,34
Tue Nov 1 23:42:01 WIB 2022,8.3,14.94,34
Tue Nov 1 23:43:01 WIB 2022,8.5,14.94,34
Tue Nov 1 23:44:02 WIB 2022,8.6,14.94,34
Tue Nov 1 23:45:01 WIB 2022,7.2,14.94,34
Tue Nov 1 23:46:01 WIB 2022,8.3,14.94,34
Tue Nov 1 23:47:01 WIB 2022,7.4,14.92,34
Tue Nov 1 23:48:02 WIB 2022,12.3,14.94,34
Tue Nov 1 23:49:01 WIB 2022,8.5,14.94,34
Tue Nov 1 23:50:01 WIB 2022,21.3,14.94,34
Tue Nov 1 23:51:01 WIB 2022,6.8,14.92,34
Tue Nov 1 23:52:02 WIB 2022,11.4,14.92,34
Tue Nov 1 23:53:01 WIB 2022,38.2,14.94,34
Tue Nov 1 23:54:01 WIB 2022,8.3,14.94,34
Tue Nov 1 23:55:01 WIB 2022,7.2,14.94,34
Tue Nov 1 23:56:02 WIB 2022,9,14.92,34
Tue Nov 1 23:57:01 WIB 2022,7.1,14.94,34
Tue Nov 1 23:58:01 WIB 2022,8.6,14.92,34
Tue Nov 1 23:59:01 WIB 2022,4.4,14.92,34
Wed Nov 2 00:00:01 WIB 2022,44.2,15.15,34
Wed Nov 2 00:01:01 WIB 2022,26.7,14.94,34
Wed Nov 2 00:02:02 WIB 2022,11,14.94,34
Wed Nov 2 00:03:01 WIB 2022,7.1,14.92,34
Wed Nov 2 00:04:01 WIB 2022,8.5,14.94,34
Wed Nov 2 00:05:01 WIB 2022,49.3,15.19,34
Wed Nov 2 00:06:02 WIB 2022,79.5,21.69,34
Wed Nov 2 00:07:01 WIB 2022,8.1,14.94,34
Wed Nov 2 00:08:01 WIB 2022,5.6,14.94,34
Wed Nov 2 00:09:01 WIB 2022,8.5,14.92,34
Wed Nov 2 00:10:02 WIB 2022,17.1,14.94,34
Wed Nov 2 00:11:01 WIB 2022,5.6,14.92,34
Wed Nov 2 00:12:01 WIB 2022,9.9,14.91,34
Wed Nov 2 00:13:01 WIB 2022,9.7,14.94,34
Wed Nov 2 00:14:01 WIB 2022,9.6,14.94,34
Wed Nov 2 00:15:02 WIB 2022,7.2,14.94,34
Wed Nov 2 00:16:01 WIB 2022,7.1,14.92,34
Wed Nov 2 00:17:01 WIB 2022,9.6,14.94,34
Wed Nov 2 00:18:01 WIB 2022,8.5,14.94,34
Wed Nov 2 00:19:02 WIB 2022,7.4,14.94,34
Wed Nov 2 00:20:01 WIB 2022,23.4,14.94,34
Wed Nov 2 00:21:01 WIB 2022,7,14.94,34
Wed Nov 2 00:22:01 WIB 2022,5.6,14.92,34
Wed Nov 2 00:23:02 WIB 2022,8.3,14.94,34
Wed Nov 2 00:24:01 WIB 2022,4.2,14.92,34
Wed Nov 2 00:25:01 WIB 2022,8.3,14.94,34
Wed Nov 2 00:26:01 WIB 2022,5.9,14.92,34
Wed Nov 2 00:27:01 WIB 2022,7.1,14.92,34
Wed Nov 2 00:28:02 WIB 2022,9.7,14.94,34
Wed Nov 2 00:29:01 WIB 2022,8.6,14.92,34
Wed Nov 2 00:30:01 WIB 2022,21.3,14.94,34
Wed Nov 2 00:31:01 WIB 2022,11,14.92,34
Wed Nov 2 00:32:02 WIB 2022,13.9,14.94,34
Wed Nov 2 00:33:01 WIB 2022,7.2,14.94,34
Wed Nov 2 00:34:01 WIB 2022,8.6,14.94,34
Wed Nov 2 00:35:01 WIB 2022,7.2,14.94,34
Wed Nov 2 00:36:02 WIB 2022,7.1,14.94,34
Wed Nov 2 00:37:01 WIB 2022,8.3,14.92,34
Wed Nov 2 00:38:01 WIB 2022,7.1,14.92,34
